gemeente,afgewezen,geheel toegekend,gedeeltelijk toegekend,totaal
Appingedam,24,29,80,133
Bedum,26,34,90,150
De Marne,9,6,21,36
Delfzijl,42,48,158,248
Deurne,1,,,1
Deventer,1,,,1
Edam-Volendam,1,,,1
Eemsmond,38,40,96,174
Gemeente onbekend,24,,,24
Groningen,239,341,937,1517
Grootegast,1,,1,2
Haren,11,29,76,116
Leek,,,1,4,5
Loppersum,17,21,55,93
Marum,1,,,,1
Midden-Groningen,74,259,403,736
Noordenveld,7,,2,9
Oldambt,21,13,41,75
Pekela,2,,1,3
Rotterdam,1,,,1
Ten Boer,16,17,51,84
Tynaarlo,3,2,11,16
Veendam,14,14,31,59
Westerwolde,2,,,2
Winsum,24,30,99,153
Zuidhorn,10,9,27,46
Hoogezand-Sappemeer,0,0,0,0
