date,date-old,before,after,meldingen,opnames,besluiten,aos,gegrond,behandeling,afgehandeld,afwijzingen
2018-03-19,19-mrt,13472,0,13472,0,0,0,0,12497,975,
2018-03-23,23-Mar,13472,327,13799,0,0,,,12821,978,
2018-03-30,30-Mar,13472,531,14003,0,0,,,13022,981,
2018-04-06,6-Apr,13472,729,14201,0,0,,,13217,984,
2018-04-13,13-Apr,13472,932,14404,0,0,,,13417,987,
2018-04-20,20-Apr,13472,1301,14773,9,0,,,13783,990,
2018-04-27,27-Apr,13472,1490,14962,24,0,,,13969,993,
2018-05-04,4-May,13472,1758,15230,42,0,,,14234,996,
2018-05-11,11-May,13472,1945,15417,63,0,,,14418,999,
2018-05-18,18-May,13472,2134,15606,108,0,,,14606,1000,
2018-05-25,25-May,13472,2274,15746,145,5,,,14744,1002,
2018-06-01,1-Jun,13472,2385,15857,209,5,,,14848,1009,
2018-06-08,8-Jun,13472,2482,15954,281,10,,,14938,1016,
2018-06-15,15-Jun,13472,2599,16071,352,18,,,15043,1028,
2018-06-22,22-Jun,13472,2707,16179,463,23,,,15146,1033,
2018-06-29,29-Jun,13472,2804,16276,570,25,,,15238,1038,
2018-07-06,6-Jul,13472,2909,16381,671,53,,,15314,1067,
2018-07-13,13-Jul,13472,3016,16488,797,58,,,15415,1073,
2018-07-20,20-Jul,13472,3122,16594,1038,78,,,15500,1094,
2018-07-27,27-Jul,13472,3249,16721,1205,93,,,15609,1112,
2018-08-03,3-Aug,13472,3357,16829,1355,110,,,15696,1133,
2018-08-10,10-Aug,13472,3485,16957,1464,142,,,15784,1173,
2018-08-17,17-Aug,13472,3650,17122,1609,192,,,15898,1224,
2018-08-24,24-Aug,13472,3765,17237,1724,267,,,15937,1300,
2018-08-31,31-Aug,13472,3898,17370,1887,456,,,15837,1533,
2018-09-07,7-Sep,13472,4073,17545,2059,534,,,15962,1583,
2018-09-14,14-Sep,13472,4213,17685,2194,608,,,16024,1661,
2018-09-21,21-Sep,13472,4346,17818,2340,708,,,16052,1766,
2018-09-28,28-Sep,13472,4475,17947,2544,785,,,16099,1848,
2018-10-05,5-Oct,13472,4621,18093,2608,995,,,16030,2063,
2018-10-12,12-Oct,13472,4804,18276,2741,1139,,,16057,2219,
2018-10-19,19-Oct,13472,4930,18402,2874,1243,,,16083,2319,
2018-10-26,26-Oct,13472,5043,18515,3003,1316,,,16122,2393,
2018-11-02,2-Nov,13472,5219,18691,3367,1372,,,16240,2451,
2018-11-09,9-nov,13472,5343,18815,3627,1432,489,58,16299,2516,
2018-11-16,16-nov,13472,5546,19018,3932,1573,501,61,16359,2659,
2018-11-23,23-nov,13472,5817,19289,4211,1679,508,61,16522,2767,
2018-11-30,30-nov,13472,6095,19567,4501,1868,528,62,16605,2962,
2018-12-06,6-dec,13472,6207,19679,4810,1965,543,63,16618,3061,
2018-12-13,13-dec,13472,6314,19786,5347,2169,564,65,16475,3311,
2018-12-20,20-dec,13472,6425,19897,5728,2357,565,65,16382,3515,
2018-12-27,27-dec,13472,6525,19997,5863,2463,570,65,16364,3633,
2019-01-03,3-jan,13472,6611,20083,5874,2478,572,65,16417,3666,
2019-01-10,10-jan,13472,6859,20331,6251,2532,580,65,16597,3734,
2019-01-17,17-jan,13472,6993,20465,6648,2681,591,66,16565,3900,
2019-01-24,24-jan,13472,7150,20622,7116,2906,612,67,16466,4156,
2019-01-31,31-jan,13472,7304,20776,7565,3198,625,69,16297,4479,
2019-02-07,7-feb,13472,7446,20918,7953,3268,632,70,16348,4570,
2019-02-14,7-feb,13472,7616,21088,8304,3328,643,70,16450,4638,
2019-02-21,7-feb,13472,7768,21240,8637,3533,655,72,16362,4878,
2019-02-28,7-feb,13472,7915,21387,9081,3687,663,72,16331,5056,
